"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 00:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 00:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 00:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 01:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 01:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 01:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 06:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 06:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 06:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 07:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 07:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 07:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 12:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 12:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 12:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 13:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 13:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 13:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 18:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 18:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 18:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-08 19:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-08 19:12:00
"Ventilators",245,98,"147",40,60,2020-11-08 19:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-09 01:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-09 01:12:00
"Ventilators",245,98,"147",40,60,2020-11-09 01:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-09 07:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-09 07:12:00
"Ventilators",245,98,"147",40,60,2020-11-09 07:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-09 13:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-09 13:12:00
"Ventilators",245,98,"147",40,60,2020-11-09 13:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-09 18:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-09 18:12:00
"Ventilators",245,98,"147",40,60,2020-11-09 18:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-09 19:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-09 19:12:00
"Ventilators",245,98,"147",40,60,2020-11-09 19:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-10 01:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-10 01:12:00
"Ventilators",245,98,"147",40,60,2020-11-10 01:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-10 07:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-10 07:12:00
"Ventilators",245,98,"147",40,60,2020-11-10 07:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-10 12:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-10 12:12:00
"Ventilators",245,98,"147",40,60,2020-11-10 12:12:00
"All Hospital Beds",3053,2280,"773",74.7,25.3,2020-11-10 13:12:00
"ICU Beds",278,224,"54",80.6,19.4,2020-11-10 13:12:00
"Ventilators",245,98,"147",40,60,2020-11-10 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-10 18:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-10 18:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-10 18:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-10 19:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-10 19:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-10 19:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-11 01:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-11 01:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-11 01:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-11 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-11 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-11 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-11 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-11 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-11 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-11 19:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-11 19:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-11 19:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-12 01:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-12 01:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-12 01:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-12 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-12 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-12 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-12 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-12 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-12 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-12 18:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-12 18:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-12 18:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-12 19:12:01
"ICU Beds",278,220,"58",79.1,20.9,2020-11-12 19:12:01
"Ventilators",245,96,"149",39.2,60.8,2020-11-12 19:12:01
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-13 00:14:21
"ICU Beds",278,220,"58",79.1,20.9,2020-11-13 00:14:21
"Ventilators",245,96,"149",39.2,60.8,2020-11-13 00:14:21
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-13 01:12:01
"ICU Beds",278,220,"58",79.1,20.9,2020-11-13 01:12:01
"Ventilators",245,96,"149",39.2,60.8,2020-11-13 01:12:01
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-13 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-13 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-13 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-13 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-13 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-13 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-13 18:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-13 18:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-13 18:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-13 19:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-13 19:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-13 19:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-14 00:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-14 00:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-14 00:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-14 01:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-14 01:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-14 01:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-14 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-14 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-14 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-14 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-14 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-14 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-14 18:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-14 18:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-14 18:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-14 19:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-14 19:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-14 19:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 00:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 00:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 00:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 01:12:01
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 01:12:01
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 01:12:01
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 12:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 12:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 12:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 18:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 18:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 18:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-15 19:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-15 19:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-15 19:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-16 01:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-16 01:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-16 01:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-16 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-16 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-16 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-16 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-16 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-16 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-16 18:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-16 18:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-16 18:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-16 19:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-16 19:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-16 19:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-17 01:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-17 01:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-17 01:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-17 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-17 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-17 07:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-17 13:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-17 13:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-17 13:12:00
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-17 18:12:01
"ICU Beds",278,220,"58",79.1,20.9,2020-11-17 18:12:01
"Ventilators",245,96,"149",39.2,60.8,2020-11-17 18:12:01
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-17 19:12:01
"ICU Beds",278,220,"58",79.1,20.9,2020-11-17 19:12:01
"Ventilators",245,96,"149",39.2,60.8,2020-11-17 19:12:01
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-18 01:12:01
"ICU Beds",278,220,"58",79.1,20.9,2020-11-18 01:12:01
"Ventilators",245,96,"149",39.2,60.8,2020-11-18 01:12:01
"All Hospital Beds",3053,2251,"802",73.7,26.3,2020-11-18 07:12:00
"ICU Beds",278,220,"58",79.1,20.9,2020-11-18 07:12:00
"Ventilators",245,96,"149",39.2,60.8,2020-11-18 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-18 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-18 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-18 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-18 18:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-18 18:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-18 18:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-18 19:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-18 19:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-18 19:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 00:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 00:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 00:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 06:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 06:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 06:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 07:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 07:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 12:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 12:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 12:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 18:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 18:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 18:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-19 19:12:01
"ICU Beds",278,231,"47",83.1,16.9,2020-11-19 19:12:01
"Ventilators",279,118,"161",42.3,57.7,2020-11-19 19:12:01
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 00:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 00:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 00:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 06:12:01
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 06:12:01
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 06:12:01
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 07:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 07:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 12:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 12:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 12:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 18:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 18:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 18:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-20 19:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-20 19:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-20 19:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-21 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-21 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-21 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-21 07:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-21 07:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-21 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-21 12:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-21 12:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-21 12:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-21 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-21 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-21 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-21 18:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-21 18:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-21 18:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-21 19:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-21 19:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-21 19:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 00:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 00:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 00:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 07:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 07:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 12:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 12:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 12:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 18:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 18:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 18:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-22 19:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-22 19:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-22 19:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-23 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-23 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-23 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-23 07:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-23 07:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-23 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-23 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-23 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-23 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-23 19:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-23 19:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-23 19:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-24 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-24 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-24 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-24 07:12:01
"ICU Beds",278,231,"47",83.1,16.9,2020-11-24 07:12:01
"Ventilators",279,118,"161",42.3,57.7,2020-11-24 07:12:01
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-24 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-24 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-24 13:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-24 18:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-24 18:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-24 18:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-24 19:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-24 19:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-24 19:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-25 01:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-25 01:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-25 01:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-25 07:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-25 07:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-25 07:12:00
"All Hospital Beds",3163,2357,"806",74.5,25.5,2020-11-25 13:12:00
"ICU Beds",278,231,"47",83.1,16.9,2020-11-25 13:12:00
"Ventilators",279,118,"161",42.3,57.7,2020-11-25 13:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-25 19:12:01
"ICU Beds",278,244,"34",87.8,12.2,2020-11-25 19:12:01
"Ventilators",279,109,"170",39.1,60.9,2020-11-25 19:12:01
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-26 01:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-26 01:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-26 01:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-26 07:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-26 07:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-26 07:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-26 13:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-26 13:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-26 13:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-26 18:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-26 18:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-26 18:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-26 19:12:01
"ICU Beds",278,244,"34",87.8,12.2,2020-11-26 19:12:01
"Ventilators",279,109,"170",39.1,60.9,2020-11-26 19:12:01
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-27 01:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-27 01:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-27 01:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-27 07:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-27 07:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-27 07:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-27 13:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-27 13:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-27 13:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-27 19:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-27 19:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-27 19:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-28 01:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-28 01:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-28 01:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-28 07:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-28 07:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-28 07:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-28 13:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-28 13:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-28 13:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-28 18:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-28 18:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-28 18:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-28 19:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-28 19:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-28 19:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-29 01:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-29 01:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-29 01:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-29 07:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-29 07:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-29 07:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-29 13:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-29 13:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-29 13:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-29 19:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-29 19:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-29 19:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-30 01:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-30 01:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-30 01:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-30 07:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-30 07:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-30 07:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-30 13:12:01
"ICU Beds",278,244,"34",87.8,12.2,2020-11-30 13:12:01
"Ventilators",279,109,"170",39.1,60.9,2020-11-30 13:12:01
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-30 18:12:00
"ICU Beds",278,244,"34",87.8,12.2,2020-11-30 18:12:00
"Ventilators",279,109,"170",39.1,60.9,2020-11-30 18:12:00
"All Hospital Beds",3171,2445,"726",77.1,22.9,2020-11-30 19:12:00
