"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-31 07:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-31 07:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-31 07:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-31 12:12:01
"ICU Beds",317,289,28,91.2,8.8,2021-03-31 12:12:01
"Ventilators",259,85,174,32.8,67.2,2021-03-31 12:12:01
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-31 13:12:01
"ICU Beds",317,289,28,91.2,8.8,2021-03-31 13:12:01
"Ventilators",259,85,174,32.8,67.2,2021-03-31 13:12:01
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-03-31 18:12:00
"ICU Beds",317,260,57,82,18,2021-03-31 18:12:00
"Ventilators",259,72,187,27.8,72.2,2021-03-31 18:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-03-31 19:12:00
"ICU Beds",317,260,57,82,18,2021-03-31 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-03-31 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-01 01:12:01
"ICU Beds",317,260,57,82,18,2021-04-01 01:12:01
"Ventilators",259,72,187,27.8,72.2,2021-04-01 01:12:01
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-01 07:12:01
"ICU Beds",317,260,57,82,18,2021-04-01 07:12:01
"Ventilators",259,72,187,27.8,72.2,2021-04-01 07:12:01
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-01 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-01 13:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-01 13:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-01 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-01 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-01 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-02 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-02 01:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-02 01:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-02 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-02 07:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-02 07:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-02 13:12:01
"ICU Beds",317,260,57,82,18,2021-04-02 13:12:01
"Ventilators",259,72,187,27.8,72.2,2021-04-02 13:12:01
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-02 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-02 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-02 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-03 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-03 01:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-03 01:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-03 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-03 07:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-03 07:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-03 12:12:00
"ICU Beds",317,260,57,82,18,2021-04-03 12:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-03 12:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-03 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-03 13:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-03 13:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-03 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-03 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-03 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 00:12:01
"ICU Beds",317,260,57,82,18,2021-04-04 00:12:01
"Ventilators",259,72,187,27.8,72.2,2021-04-04 00:12:01
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-04 01:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-04 01:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-04 07:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-04 07:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 12:12:00
"ICU Beds",317,260,57,82,18,2021-04-04 12:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-04 12:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-04 13:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-04 13:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 18:12:00
"ICU Beds",317,260,57,82,18,2021-04-04 18:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-04 18:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-04 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-04 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-04 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-05 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-05 01:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-05 01:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-05 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-05 07:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-05 07:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-05 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-05 13:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-05 13:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-05 18:12:00
"ICU Beds",317,260,57,82,18,2021-04-05 18:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-05 18:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-05 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-05 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-05 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-06 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-06 01:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-06 01:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-06 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-06 07:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-06 07:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-06 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-06 13:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-06 13:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-06 18:12:00
"ICU Beds",317,260,57,82,18,2021-04-06 18:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-06 18:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-06 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-06 19:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-06 19:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-07 00:12:00
"ICU Beds",317,260,57,82,18,2021-04-07 00:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-07 00:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-07 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-07 01:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-07 01:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-07 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-07 07:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-07 07:12:00
"All Hospital Beds",3102,2409,693,77.7,22.3,2021-04-07 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-07 13:12:00
"Ventilators",259,72,187,27.8,72.2,2021-04-07 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-07 18:19:52
"ICU Beds",317,260,57,82,18,2021-04-07 18:19:52
"Ventilators",258,77,181,29.8,70.2,2021-04-07 18:19:52
"All Hospital Beds",3076,2307,769,75,25,2021-04-07 19:12:01
"ICU Beds",317,260,57,82,18,2021-04-07 19:12:01
"Ventilators",258,77,181,29.8,70.2,2021-04-07 19:12:01
"All Hospital Beds",3076,2307,769,75,25,2021-04-08 01:12:01
"ICU Beds",317,260,57,82,18,2021-04-08 01:12:01
"Ventilators",258,77,181,29.8,70.2,2021-04-08 01:12:01
"All Hospital Beds",3076,2307,769,75,25,2021-04-08 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-08 07:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-08 07:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-08 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-08 13:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-08 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-08 18:12:00
"ICU Beds",317,260,57,82,18,2021-04-08 18:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-08 18:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-08 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-08 19:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-08 19:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-09 00:12:00
"ICU Beds",317,260,57,82,18,2021-04-09 00:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-09 00:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-09 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-09 01:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-09 01:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-09 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-09 07:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-09 07:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-09 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-09 13:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-09 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-09 18:12:00
"ICU Beds",317,260,57,82,18,2021-04-09 18:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-09 18:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-09 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-09 19:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-09 19:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-10 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-10 01:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-10 01:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-10 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-10 07:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-10 07:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-10 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-10 13:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-10 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-10 18:12:00
"ICU Beds",317,260,57,82,18,2021-04-10 18:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-10 18:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-10 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-10 19:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-10 19:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-11 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-11 01:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-11 01:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-11 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-11 07:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-11 07:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-11 12:12:00
"ICU Beds",317,260,57,82,18,2021-04-11 12:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-11 12:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-11 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-11 13:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-11 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-11 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-11 19:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-11 19:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-12 00:12:02
"ICU Beds",317,260,57,82,18,2021-04-12 00:12:02
"Ventilators",258,77,181,29.8,70.2,2021-04-12 00:12:02
"All Hospital Beds",3076,2307,769,75,25,2021-04-12 01:12:01
"ICU Beds",317,260,57,82,18,2021-04-12 01:12:01
"Ventilators",258,77,181,29.8,70.2,2021-04-12 01:12:01
"All Hospital Beds",3076,2307,769,75,25,2021-04-12 07:12:01
"ICU Beds",317,260,57,82,18,2021-04-12 07:12:01
"Ventilators",258,77,181,29.8,70.2,2021-04-12 07:12:01
"All Hospital Beds",3076,2307,769,75,25,2021-04-12 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-12 13:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-12 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-12 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-12 19:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-12 19:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-13 00:12:01
"ICU Beds",317,260,57,82,18,2021-04-13 00:12:01
"Ventilators",258,77,181,29.8,70.2,2021-04-13 00:12:01
"All Hospital Beds",3076,2307,769,75,25,2021-04-13 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-13 01:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-13 01:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-13 07:12:00
"ICU Beds",317,260,57,82,18,2021-04-13 07:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-13 07:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-13 13:12:00
"ICU Beds",317,260,57,82,18,2021-04-13 13:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-13 13:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-13 19:12:00
"ICU Beds",317,260,57,82,18,2021-04-13 19:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-13 19:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-14 01:12:00
"ICU Beds",317,260,57,82,18,2021-04-14 01:12:00
"Ventilators",258,77,181,29.8,70.2,2021-04-14 01:12:00
"All Hospital Beds",3076,2307,769,75,25,2021-04-14 07:12:01
"ICU Beds",317,260,57,82,18,2021-04-14 07:12:01
"Ventilators",258,77,181,29.8,70.2,2021-04-14 07:12:01
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-14 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-14 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-14 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-14 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-14 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-14 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-15 01:12:01
"ICU Beds",317,287,30,90.5,9.5,2021-04-15 01:12:01
"Ventilators",258,85,173,32.9,67.1,2021-04-15 01:12:01
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-15 07:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-15 07:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-15 07:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-15 12:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-15 12:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-15 12:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-15 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-15 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-15 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-15 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-15 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-15 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-16 01:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-16 01:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-16 01:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-16 07:12:01
"ICU Beds",317,287,30,90.5,9.5,2021-04-16 07:12:01
"Ventilators",258,85,173,32.9,67.1,2021-04-16 07:12:01
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-16 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-16 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-16 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-16 18:12:01
"ICU Beds",317,287,30,90.5,9.5,2021-04-16 18:12:01
"Ventilators",258,85,173,32.9,67.1,2021-04-16 18:12:01
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-16 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-16 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-16 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-17 01:12:01
"ICU Beds",317,287,30,90.5,9.5,2021-04-17 01:12:01
"Ventilators",258,85,173,32.9,67.1,2021-04-17 01:12:01
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-17 07:12:01
"ICU Beds",317,287,30,90.5,9.5,2021-04-17 07:12:01
"Ventilators",258,85,173,32.9,67.1,2021-04-17 07:12:01
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-17 12:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-17 12:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-17 12:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-17 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-17 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-17 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-17 18:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-17 18:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-17 18:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-17 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-17 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-17 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-18 01:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-18 01:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-18 01:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-18 07:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-18 07:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-18 07:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-18 12:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-18 12:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-18 12:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-18 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-18 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-18 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-18 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-18 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-18 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-19 00:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-19 00:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-19 00:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-19 01:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-19 01:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-19 01:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-19 07:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-19 07:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-19 07:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-19 12:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-19 12:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-19 12:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-19 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-19 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-19 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-19 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-19 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-19 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-20 01:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-20 01:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-20 01:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-20 07:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-20 07:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-20 07:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-20 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-20 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-20 13:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-20 19:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-20 19:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-20 19:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-21 01:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-21 01:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-21 01:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-21 07:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-21 07:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-21 07:12:00
"All Hospital Beds",3082,2513,569,81.5,18.5,2021-04-21 13:12:00
"ICU Beds",317,287,30,90.5,9.5,2021-04-21 13:12:00
"Ventilators",258,85,173,32.9,67.1,2021-04-21 13:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-21 19:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-21 19:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-21 19:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-22 13:12:01
"ICU Beds",317,292,25,92.1,7.9,2021-04-22 13:12:01
"Ventilators",258,88,170,34.1,65.9,2021-04-22 13:12:01
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-22 19:12:01
"ICU Beds",317,292,25,92.1,7.9,2021-04-22 19:12:01
"Ventilators",258,88,170,34.1,65.9,2021-04-22 19:12:01
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-23 01:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-23 01:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-23 01:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-23 07:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-23 07:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-23 07:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-23 13:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-23 13:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-23 13:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-23 18:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-23 18:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-23 18:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-23 19:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-23 19:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-23 19:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-24 01:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-24 01:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-24 01:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-24 07:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-24 07:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-24 07:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-24 13:12:01
"ICU Beds",317,292,25,92.1,7.9,2021-04-24 13:12:01
"Ventilators",258,88,170,34.1,65.9,2021-04-24 13:12:01
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-24 19:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-24 19:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-24 19:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-25 01:12:01
"ICU Beds",317,292,25,92.1,7.9,2021-04-25 01:12:01
"Ventilators",258,88,170,34.1,65.9,2021-04-25 01:12:01
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-25 07:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-25 07:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-25 07:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-25 12:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-25 12:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-25 12:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-25 13:12:01
"ICU Beds",317,292,25,92.1,7.9,2021-04-25 13:12:01
"Ventilators",258,88,170,34.1,65.9,2021-04-25 13:12:01
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-25 18:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-25 18:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-25 18:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-25 19:12:01
"ICU Beds",317,292,25,92.1,7.9,2021-04-25 19:12:01
"Ventilators",258,88,170,34.1,65.9,2021-04-25 19:12:01
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-26 01:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-26 01:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-26 01:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-26 07:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-26 07:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-26 07:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-26 13:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-26 13:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-26 13:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-26 18:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-26 18:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-26 18:12:00
"All Hospital Beds",3078,2502,576,81.3,18.7,2021-04-26 19:12:00
"ICU Beds",317,292,25,92.1,7.9,2021-04-26 19:12:00
"Ventilators",258,88,170,34.1,65.9,2021-04-26 19:12:00
